ea	fascode	idw	h1	h3	h3a	h4	h5	h11a	h11b	h11c	h11d	h11e	h11f	h11g	h11h	h11i	h11j	h11k	h11l	h11m	h11n	h11o	h12a	h12b	h12c	h12d	h12e	h12f	h12g	h12h	h12i	h12j	h12k	h12l	h12m	h12n	h13a	h13b	h13c	h13d	h13e	h13f	h13g	h13h	h13i	h14a	h14b	h14c	h14d	h14e	h14f	h14g	h15	h17	h17a	h18	h19	h25a	h25b	h25c	h25d	h25e	h25f	h25g	h25h	h25i	h25j	h25k	h25l	h25m	h25n	h25o	h25q	h26a	h26b	h26c	h26d	h26e	h26f	h26g	h26h	h26i	h26j	h26k	h26l	h26m	h26n	h27a	h27b	h27c	h27d	h27e	h27f	h27g	h27h	h27i	h27j	h28a	h28b	h28c	h28d	h28e	h28f	h28g	h28h	h28i	h29a	h29b	h29c	h29d	h29e	h29f	h29g	h29h	commid14	h30	h32	h32a	h33	h34	h40a	h40b	h40c	h40d	h40e	h40f	h40g	h40h	h40i	h40j	h40k	h40l	h40m	h40n	h40o	h41a	h41b	h41c	h41d	h41e	h41f	h41g	h41h	h41i	h41k	h41l	h42a	h42b	h42c	h42d	h42e	h42f	h42g	h42h	h42i	h42j	h42k	h42l	h42m	h42n	h42o	h42p	h43a	h43b	h43c	h44a	h44b	h44c	h44d	h44e	h44f	h44g	h44h	h44i	h44j	h44k	h47	h47a	h48	h49	h55a	h55b	h55c	h55d	h55e	h55f	h55g	h55h	h56a	h56b	h56c	h56d	h56e	h57a	h57b	h57c	h57d	h57e	h57f	h57g	h57h	h57i	h57j	h57k	h57l	h57m	h57n	h58a	h58b	h58c	h58d	h58e	h58f	h58g	h58h	h58i	h59a	h59b	h59c	h59d	h59e	h59f	h59g	h59h	h59i	h59j	h59k	h59l	h59m	h60a	h60b	h60c	h60d	h60e	h60f	h60g	h60h	h60i	h60j	h60k	h6_1	h6_4	h6_2	h6_3	h7_1	h7_4	h7_2	h7_3	h8_1	h8_4	h8_2	h8_3	h20_2	h20_1	h20_3	h20_4	h21_2	h21_1	h21_3	h21_4	h22_2	h22_1	h22_3	h22_4	h35_7	h35_6	h35_1	h35_3	h35_4	h35_5	h35_2	h36_7	h36_6	h36_1	h36_3	h36_4	h36_5	h36_2	h37_7	h37_6	h37_1	h37_3	h37_4	h37_5	h37_2	h50_6	h50_1	h50_4	h50_3	h50_7	h50_5	h50_2	h51_6	h51_1	h51_4	h51_3	h51_7	h51_5	h51_2	h52_6	h52_1	h52_4	h52_3	h52_7	h52_5	h52_2	facwght14s	fcode14
"008"	"0081252"	"008"	1	4	95	2014	3	1	1	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	3	3	2	2	1	2	2	3	2	3	2	2	1	2	2	2	2	3	2	1	2	3	2	3	3	3	3	1	4	95	2014	3	2	1	2	2	1	2	3	2	3	2	2	2	2	2	1	2	2	3	3	2	2	2	3	2	2	2	2	2	1	2	1	3	2	3	2	2	2	3	2	2	2	1	1	3	3	3	3	3	2	2	2	2	3	3	2	3	3	"1208"	1	4	95	2014	3	2	2	2	3	2	2	2	2	2	2	2	2	3	2	3	2	2	3	3	3	2	1	2	3	2	1	2	1	3	2	2	2	3	2	1	1	2	2	3	3	2	3	3	2	3	3	1	2	2	3	2	2	2	2	2	1	4	95	2011	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3	3	3	2	2	2	2	3	1	2	2	2	2	2	2	2	2	1	3																																																																			0.375	"12081252"
"009"	"0091013"	"009"	1	4	95	2014	1	1	1	1	1	1	3	1	3	2	2	2	2	2	1	2	3	3	3	3	3	2	3	1	3	3	3	1	2	3	1	1	2	2	2	1	3	2	1	3	3	3	3	3	3	3	1	4	95	2014	1	2	2	1	1	2	3	1	1	2	2	2	2	3	1	1	2	3	3	3	3	3	3	3	3	3	2	3	1	1	1	1	3	2	2	1	3	1	3	1	1	3	3	3	3	3	3	3	3	3	2	1	1	2	3	2	2	2	"1209"	1	4	95	2014	1	1	2	1	2	1	1	2	1	2	2	2	2	1	3	3	2	3	3	3	1	3	2	2	3	2	2	3	1	3	2	2	2	2	1	1	2	2	2	2	2	1	3	3	3	3	2	1	2	3	2	2	2	3	2	3	1	4	95	2014	1	1	2	1	2	2	2	2	2	1	2	1	1	2	3	3	3	2	2	3	3	3	3	3	3	3	2	2	2	2	1	1	2	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	2	2	2	3	2	1	2	1	1	1	1	3	3	3	3	1	1	1	1	1	1	1	1	3	3	1	1	1	1			1	1	1	1	1	1	1	1	1	3	3	3	3	3			3	3	3	1	3	1	1	1	1	3	1	1	1	1	1	1		1	1								0.625	"12091013"
"010"	"0091021"	"010"	1	3	95	2006	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	3	1	3	3	3	3	1	3	95	2006	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	3	3	2	2	2	2	2	1	1	1	3	3	3	2	2	2	3	2	2	3	3	3	3	3	3	3	3	3	2	1	2	2	2	2	3	2	"1210"	1	3	95	2006	1	2	2	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	1	2	2	2	3	1	2	2	1	3	2	1	2	2	3	2	2	2	3	3	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	95	2006	1	1	1	1	2	2	2	2	2	1	2	2	1	2	1	1	3	2	2	3	2	3	2	2	2	2	3	3	3	1	1	2	1	3	2	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3									3	3	3	3									3	3	3	3	3	3	3															3	3	3	3	3	3	3															0.5	"12091021"
"009"	"0091250"	"009"	1	1	7	2005	1	1	2	1	1	1	2	1	1	1	2	1	2	2	2	2	3	3	3	3	2	2	1	3	2	1	2	2	2	2	1	1	2	1	2	1	2	2	2	3	3	1	1	3	3	3	1	1	7	2005	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	2	1	2	2	2	1	1	3	3	3	3	3	3	3	2	1	1	2	3	2	2	2	"1209"	1	1	7	2005	1	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	3	1	1	3	1	1	2	2	2	2	2	1	3	3	2	1	7	2005	1	1	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	2	2	2	2	2	2	1	2	1	3	1	3	1		1						1	1	1	1	1	1	1	1					3	3	3	3	1	3	3					3							1			1	3	3	1	3	3	3	1			3							1				0.625	"12091250"
"010"	"0091254"	"010"	1	1	7	2004	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	3	1	2	1	2	2	2	1	1	2	1	1	1	2	2	2	2	1	1	3	3	2	2	3	3	3	1	1	7	2004	1	1	1	2	2	2	2	2	3	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	1	2	1	3	1	1	2	1	3	2	2	1	2	1	2	2	2	3	1	3	2	2	3	1	2	3	2	2	2	2	1	3	2	2	"1210"	1	1	7	2004	1	1	1	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	3	1	3	1	1	2	2	1	2	2	2	2	2	2	1	2	2	4	7	2014	1	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	2	2	2	3	3	2	1	1	3	1	1	1		3	3	3		1	1	1	1	3	1	1	3		3	3	1		1	1	3	3	3	3	3	3	3															1	1	1	1	3	1	1	3	1	3	3		3	1	1		1	1		1		0.5	"12091254"
"009"	"0091503"	"009"	1	5	95	1984	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	2	2	3	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	3	3	3	3	3	3	3	3																																																														"1209"	1	5	95	1984	1	2	1	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	2	1	3	2	1	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	3	3	3	3	1	1	2	2	2	2	2	1	2	3	2	4	95	2005	1	1	1	1	2	2	2	2	1	1	2	2	1	2	1	2	2	1	2	1	2	2	2	2	2	2	1	2	2	1	1	2	3	3	3	1	2	1	1	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	2	1	2	2	3	1	3	3	1	3			3				3														3	3	3	3	3	1	3						3							3		1	3	1	1	3	3	3	1		1	1											0.625	"12091503"
"010"	"0101101"	"010"	1	4	95	2012	1	1	2	1	2	2	1	1	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	1	1	3	3	2	1	1	1	3	3	3	3	3	3	3	1	4	95	2012	1	2	1	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	3	2	1	2	2	2	2	1	1	3	3	3	3	3	3	3	3	3	2	1	1	2	2	2	1	2	"1210"	1	4	95	2012	1	1	1	1	1	1	2	2	2	1	2	1	2	1	2	2	2	2	2	1	1	1	2	2	2	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	3	3	3	3	1	1	1	2	2	2	2	3	2	3	2	4	95	2012	1	1	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	3	3	1	2	1	2	1	2	2	3	3	3	3	3	3	3	3	3	1	2	1	1	2	2	2	2	2	2	2	3	3	3	3									3	3	1	3			3				3		1	1	3	3	3	1	3	1	3				3			1				1		1	1	1	1	3	1	1	3	3	3	3		3	3	1	1	1	1		1	1	0.5	"12101101"
"011"	"0111013"	"011"	1	4	95	1998	1	1	1	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	3	2	2	1	2	2	3	2	2	3	2	1	1	2	2	2	2	2	1	3	3	2	3	3	3	3	1	4	95	1998	1	1	1	2	2	2	2	3	2	2	2	2	3	3	2	2	2	2	3	2	2	2	3	3	1	2	3	1	3	1	1	2	3	2	2	2	3	2	3	2	2	3	1	2	3	3	3	3	3	3	2	2	1	2	2	2	2	2	"1211"	1	4	95	1998	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	1	2	2	2	2	3	2	2	1	2	1	2	2	2	1	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	4	95	1998	1	2	2	1	2	2	2	2	2	1	1	3	1	2	2	2	2	1	2	2	2	3	2	2	3	2	3	3	2	1	1	1	3	3	2	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	1	2	2	2	2	2	2	1	1	1	1	1	1	3	1	3	3	1		3	1	1	1	3	3	3	3			3	1			1	1	1	3	3	1	1	3	3	3			3	3	1	1	1			1	1	1	1	1	1	1	3	1	3	3	3	3	3		3	1	1	1	1	1		1	0.30000001192092896	"12111013"
"011"	"0111101"	"011"	1	4	95	1994	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	2	3	2	1	2	2	2	2	2	1	1	3	3	2	3	3	3	3	1	4	95	1994	1	2	2	1	1	2	2	2	2	2	3	2	3	3	2	1	2	2	2	2	3	2	3	3	2	3	2	2	2	2	2	2	3	2	2	2	3	2	3	1	1	3	1	3	3	3	3	3	3	3	2	2	2	3	2	2	3	3	"1211"	1	4	95	1994	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	3	2	2	2	2	2	3	2	2	3	1	3	2	2	2	3	1	1	2	2	3	3	2	2	3	3	3	3	2	1	2	2	2	2	2	2	2	3	2	4	95	1994	1	2	2	2	2	2	2	2	2	1	1	3	2	2	2	2	3	2	2	3	3	3	2	2	2	3	3	3	2	1	1	1	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	1	2	2	2	2	2	2	2	3	3	3	3									3	3	1	1			3	3			1	1	3	3	1	3	3	3	3			3							1					3	1	3	3	3	3	1		3					3		1					1	0.30000001192092896	"12111101"
"011"	"0111506"	"011"	1	4	95	2009	1	1	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	1	2	2	2	1	3	2	2	1	1	2	2	2	2	1	1	3	3	3	3	3	3	3	3																																																														"1211"	1	4	95	2009	1	2	2	2	3	2	1	2	2	1	3	2	2	2	2	2	3	2	3	3	2	2	2	3	3	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	1	3	3	3	3	2	1	2	2	2	2	2	3	3	3	2	4	95	2009	1	2	2	2	2	2	2	2	2	1	2	3	1	2	3	2	2	2	2	3	2	3	2	2	2	2	2	3	2	2	1	2	2	2	3	2	2	2	1	3	3	3	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	1	2	1	3	1	3	1		3				1														1	1	1	1	3	1	1	1	1	1	1		1	1								1	1	1	1	1	1	1	1	1	1	1	1	1	1								0.30000001192092896	"12111506"
"012"	"0121011"	"012"	1	1	7	2002	1	1	2	1	1	2	2	1	1	2	1	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	1	2	1	3	1	1	2	2	2	3	1	2	1	3	3	3	3	3	3	3	1	1	7	2002	1	2	2	1	1	1	2	1	1	2	2	2	2	2	1	1	2	3	3	3	2	2	1	1	1	2	2	2	3	2	1	1	1	2	2	2	3	2	3	1	1	3	1	3	3	3	3	3	3	3	2	1	1	2	3	2	2	2	"1213"	1	1	7	2002	1	1	2	1	1	1	2	2	2	1	2	2	2	1	2	3	2	2	3	2	2	1	1	3	3	1	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	3	3	3	3	1	1	2	3	2	2	2	3	2	3	2	4	7	2015	1	2	2	2	2	1	2	2	1	2	1	2	1	2	2	2	2	1	3	2	2	2	2	2	2	2	2	2	1	1	1	1	2	3	2	2	2	1	1	2	2	3	3	2	2	2	2	3	3	3	1	3	2	2	2	2	3	2	2	2	2	1	3	1	1	1		1	1					1	1	3	3	1	1							3	3	3	1	1	1	1				3	3	1	3				1	3		3	1	1	3	1	3	1	1	3	3		1		1	1	1	3						0.5	"12131011"
"012"	"0121033"	"012"	1	1	95	2007	1	1	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	1	1	1	2	2	2	2	2	2	1	1	3	3	3	3	3	3	3	1	1	95	2007	1	1	1	1	1	1	2	2	2	3	2	2	2	1	1	1	1	2	2	2	2	2	3	3	2	2	2	3	1	1	1	1	3	2	2	1	2	2	3	2	1	3	1	1	3	1	3	3	3	3	2	1	1	2	2	2	2	1	"1213"	1	1	95	2007	1	1	1	1	1	2	2	2	2	1	2	2	2	3	1	2	2	2	3	3	1	2	1	2	3	1	1	2	2	1	2	2	2	2	2	1	1	1	1	2	2	2	3	3	3	3	1	1	2	1	1	3	2	3	3	3	2	1	95	2007	1	2	1	1	3	2	2	1	2	2	1	1	1	2	3	2	2	1	3	3	2	3	2	2	3	3	3	3	2	2	2	1	2	2	2	3	2	1	3	3	2	3	3	3	3	3	3	3	3	3	1	3	1	1	1	2	2	2	2	1	1	3	3	1	1			3	3			1	1	1	3	1	1	3		1	1	1				3	1	3	1	3	1	1		1		1		1	3							1	1	3	1	3	1	3	3	3		3		3			1		1		1			0.5	"12131033"
"012"	"0121506"	"012"	1	1	7	2003	1	1	3	3	3	3	3	1	1	3	1	3	2	2	1	3	1	3	3	3	3	3	2	1	3	3	3	2	1	2	2	1	1	1	1	2	2	1	1	3	3	1	1	3	3	3	1	1	7	2003	1	1	1	1	1	1	1	1	2	3	3	1	3	3	1	1	1	3	3	2	3	2	3	3	2	3	3	3	1	1	1	1	3	1	1	3	3	3	3	2	2	3	1	3	3	3	3	3	3	3	2	2	2	3	3	3	3	2	"1213"	1	1	6	2005	1	1	1	2	3	1	1	2	1	2	3	3	3	2	2	3	1	2	3	3	3	3	2	3	3	3	2	2	2	3	2	2	3	2	1	1	1	2	3	3	3	2	3	3	3	3	2	1	3	2	2	2	3	3	2	3	2	1	6	2005	1	2	1	1	2	2	2	3	3	1	2	2	2	2	1	2	1	3	3	2	3	3	3	3	2	2	2	3	3	1	1	1	1	2	2	1	2	1	3	2	2	3	3	3	3	3	3	3	3	3	2	3	2	1	3	2	3	3	2	2	2	3	1	1	1		1	1	1					1	3	1	1	1		1	3				1	1	3	3	1	1	3	1	3			3	3		3	1			1	1		3	1	1	3	1	3	1	1	3	3		3		1	1	1	1		1				0.5	"12131506"
"013"	"0131011"	"013"	1	1	95	2000	1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	3	2	2	2	1	2	3	2	2	1	2	2	2	2	3	2	2	2	2	2	3	3	1	3	3	3	3	1	1	95	2000	1	2	1	1	1	1	2	2	2	3	3	2	1	2	1	1	1	2	2	2	3	2	2	2	2	2	3	3	2	1	1	2	3	2	2	2	2	2	3	2	2	3	1	2	3	3	3	3	3	3	2	1	1	3	3	3	3	3	"1212"	1	1	95	2000	1	1	1	1	2	1	2	2	2	2	2	1	1	1	1	2	2	2	3	3	1	1	1	3	3	1	1	2	2	2	2	2	2	2	1	2	2	1	2	2	3	2	3	3	3	3	1	1	1	3	2	2	2	2	3	3	1	1	95	2000	1	2	2	1	1	1	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	3	3	3	3	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	2	2	2	3	3	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	1	1	1	3	3	3	3		1	1	1		3	3	3	3	3	3	3															1	3	3	3	3	3	3	3							1							0.5	"12121011"
"013"	"0131021"	"013"	1	1	6	2000	1	1	1	1	1	2	2	1	1	1	2	2	2	2	2	2	1	3	1	3	3	2	2	1	2	2	1	2	3	1	2	2	1	3	3	2	1	2	2	1	3	1	1	3	3	3	1	1	6	2000	1	2	2	1	1	2	2	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	3	2	2	3	1	3	3	3	3	3	3	3	2	1	1	2	2	2	1	2	"1212"	1	4	95	2012	1	2	1	2	2	2	2	2	1	1	2	1	2	1	2	2	1	2	2	3	2	3	2	2	3	2	2	2	1	2	1	2	2	2	2	1	2	2	1	2	2	2	3	3	3	3	2	1	2	3	2	2	2	2	3	2	2	4	95	2012	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	3	2	1	2	1	1	3	3	3	3	3	3	3	3	3	3	3	1	2	1	1	2	2	2	3	2	2	2	1	1	1	1	1	1	1	1					1	1	1	1	1	1	3	3			1	1	1	3	1	1	3	1	3	1		1	1		1									1	1	3	1	1	1	1	3	3		3	3	3	3	1	1		1	1	1	1	0.5	"12121021"
"013"	"0131503"	"013"	1	3	95	2002	1	1	2	2	2	2	1	2	1	2	1	1	2	2	1	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	1	3	3	3	3	3	3	3	1	3	95	2002	1	2	2	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	1	3	1	2	2	2	2	2	1	2	3	3	3	3	3	3	3	3	3	2	2	2	2	1	3	3	1	"1212"	1	4	95	1995	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	2	1	2	1	1	1	2	1	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	1	3	2	2	1	4	95	1995	1	2	1	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	2	2	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	1	2	2	2	2	2	2	2	3	3	3	3									3	3	3	3									3	1	3	1	1	1	1		3		3	3	3	3		3		3	3	3	3	3	1	1	1	1	3	1		1	3	3	3		3			1	1	1		1	0.5	"12121503"
"016"	"0141011"	"016"	1	1	95	2009	1	1	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	3	3	2	1	2	3	2	1	1	95	2009	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	3	1	1	1	1	2	1	2	2	2	2	3	1	1	3	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	1	"1214"	1	3	95	2002	1	2	1	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	3	3	1	3	1	1	1	2	3	2	2	3	3	3	1	3	95	2002	1	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	2	1	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	3	2	1	2	1	3	2	2	2	2	1	1	1	1	1	1	1	1					1	1	1	1	1	1	1	1					1	1	1	1	1	3	1	1	1	1	3	1		3				1			1	3	3	3	3	3	3	3															0.4545454680919647	"12151011"
"014"	"0141501"	"014"	1	3	95	2002	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	3	2	2	2	2	3	2	2	1	2	2	2	2	1	1	2	1	1	2	2	2	3	1	1	2	2	1	2	2	2	2	1	3	95	2002	1	2	2	2	2	2	2	2	3	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	3	1	1	2	1	3	2	2	3	2	2	2	2	1	2	2	2	3	2	1	"1215"	1	3	95	2002	1	2	1	1	2	2	2	2	1	2	2	2	3	1	2	2	2	2	2	2	1	2	1	2	3	1	2	1	1	2	1	1	2	2	2	1	2	2	2	2	2	2	3	2	1	3	1	2	2	2	2	2	2	3	2	3	2	3	95	2002	1	2	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	3	3	3	3									3	3	3	3									3	3	3	3	3	3	3															3	3	3	3	3	3	3															0.5454545617103577	"12151501"
"016"	"0151013"	"016"	1	4	95	2004	1	1	1	3	2	1	2	1	2	3	1	1	2	2	2	1	3	3	1	3	3	1	2	1	2	2	1	1	1	2	1	2	1	2	3	2	2	1	1	3	3	2	3	3	3	3	3																																																														"1214"	1	4	95	2004	1	1	1	1	2	1	2	2	1	1	2	3	3	1	2	2	2	2	3	3	2	2	1	3	3	1	1	1	2	2	1	2	2	3	1	1	1	1	1	2	2	1	3	3	3	3	1	3	2	1	2	2	2	3	1	3	1	4	95	2004	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	3	1	2	3	1	3	3	3	1	1	3	3	3	1	1	2	3	3	2	2	2	1	2	3	3	3	3	3	3	3	3	3	2	3	1	3	2	2	2	2	3	3	2	1	1	3	3	3	3																					1	3	3	3	3	3	1	3						3	3						3	3	1	3	1	3	3	3		3		3					3		3				0.4545454680919647	"12161013"
"017"	"0151023"	"017"	1	1	95	2005	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	2	2	2	2	2	3	2	2	1	2	2	1	1	1	2	1	1	1	2	2	1	2	1	1	2	3	1	1	3	3	3	1	1	7	2005	1	1	2	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1	2	2	3	2	2	1	1	2	1	2	2	2	3	2	1	3	1	1	1	2	2	2	2	2	"1217"	1	1	7	2005	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	2	2	3	2	2	2	2	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	1	3	1	2	1	2	2	3	2	2	2	3	2	3	2	4	95	2002	1	2	2	2	1	1	1	2	1	1	2	1	1	2	1	2	2	1	2	1	1	2	2	2	2	1	2	2	1	1	1	1	3	2	2	2	2	1	1	2	1	2	3	3	3	3	3	3	1	3	1	2	2	1	2	2	2	2	2	1	2	1	1	1	3	1	3	1			1			1	1	3	1	1	1		3				1	1	3	1	1	3	1	3	3		3	1		3		1		1			1		1	1	1	1	3	1	3	3	3	3	3		3		3	3	3	3		3		0.75	"12161023"
"017"	"0151043"	"017"	1	3	95	2011	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	2	1	2	1	2	2	2	2	1	2	3	1	3	2	1	2	2	1	2	2	2	2	1	3	95	2011	1	2	2	1	1	1	2	2	2	3	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	3	2	2	2	2	2	3	2	2	3	2	2	2	3	3	2	2	2	2	1	1	2	2	3	2	2	"1217"	1	4	95	2010	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	1	2	2	3	2	1	1	2	3	2	2	1	3	3	3	3	2	3	1	2	2	2	3	3	2	3	2	3	95	2011	1	2	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	2	2	2	2	1	1	2	1	3	3	3	3	3	3	3	3	3	1	3	2	2	2	2	3	3	1	1	2	1	1	3	1	1	1		1					3	1	3	1		1		3				1	1	3	3	3	3	3	3	1														1	1	3	1	1	3	1	1	1		1	1		1								0.75	"12161043"
"014"	"0151070"	"014"	1	4	95	2010	3	1	2	2	3	2	3	1	3	3	2	1	2	1	2	1	2	3	2	3	3	2	2	1	2	3	3	3	3	3	2	1	2	3	3	2	3	3	1	3	3	3	3	3	3	3	3																																																														"1215"	1	4	95	2008	1	1	1	1	3	2	1	2	1	2	2	2	2	2	3	3	2	2	3	3	3	2	1	3	3	2	2	2	1	3	2	2	3	3	2	2	1	1	3	3	2	2	3	3	3	3	1	1	2	2	2	2	2	3	1	3	1	4	95	1990	1	1	1	1	2	2	2	2	1	2	1	2	1	3	3	1	2	1	2	3	1	3	1	3	3	2	2	3	1	1	1	1	3	3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	3	2	1	1	2																									3	3	1	1	3	3	3			3	3						1	1				1	1	1	1	1	1	1	3	1	3	3	3	3	3	3		3	1	3	1	1	0.5454545617103577	"12161070"
